#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
short;Short;;Klein;;;;;;;;;;;x
short_desc;This character is noticeably shorter than average.;;Dieser Charakter ist deutlich kleiner als der Durchschnitt;;;;;;;;;;;x
tall;Tall;;Groß;;;;;;;;;;;x
tall_desc;This character is noticeably taller than average, a rather attractive trait.;;Dieser Charakter ist überdurchschnittlich groß, was durchaus als attraktiv angesehen wird;;;;;;;;;;;x
tiny;Tiny;;Winzling;;;;;;;;;;;x
tiny_desc;This character is much shorter than average.;;Dieser Charakter ist überdurchschnittlich klein;;;;;;;;;;;x
bright;Bright;;Begabt;;;;;;;;;;;x
bright_desc;While no genius, this character is more intelligent than average.;;Dieser Charakter ist zwar kein Genius, aber dennoch intelligenter als der Durchschnitt;;;;;;;;;;;x
dim;Dim;;Langsam;;;;;;;;;;;x
dim_desc;This character is somewhat lacking in intellectual acuity.;;Dem Intellekt des Charakters fehlt es an Schärfe;;;;;;;;;;;x
delicate;Delicate;;Zierlich;;;;;;;;;;;x
delicate_desc;This character is quite frail and prone to injury.;;Dieser Charakter wirkt ob seines zierlichen Körperbaus schon beinahe zerbrechlich;;;;;;;;;;;x
burly;Burly;;Stämmig;;;;;;;;;;;x
burly_desc;This character has significant physical strength.;;Dieser Charakter besitzt einen stattlichen Körper;;;;;;;;;;;x
comely;Comely;;Hübsch;;;;;;;;;;;x
comely_desc;This character is quite pleasing to the eye.;;Dieser Charakter ist ganz nett anzusehen;;;;;;;;;;;x
homely;Homely;;Unansehnlich;;;;;;;;;;;x
homely_desc;This character is lacking in physical beauty.;;Diesem Charakter fehlt es an Schönheit;;;;;;;;;;;x
